id,date,category,actor_type,technique,asset,region,severity,status,loss_usd_thousands,description
T0001,15/2/2026,Malware,Cybercrime,Ransomware,Payment Processing Infrastructure,North America,Medium,Detected,339.97,Synthetic banking-sector CTI event
T0002,29/12/2025,Malware,Hacktivist,Credential Stuffing,Core Banking System,Global,Medium,Contained,255.15,Synthetic banking-sector CTI event
T0003,7/4/2025,Nation-State,Hacktivist,Malware Dropper,Digital Channels (Mobile/Web),Latin America,High,Detected,380.61,Synthetic banking-sector CTI event
T0004,14/6/2025,DDoS,Insider,Ransomware,Payment Processing Infrastructure,North America,High,Detected,50.91,Synthetic banking-sector CTI event
T0005,13/5/2025,Phishing,Insider,Ransomware,Tokenized Asset Platform,Global,Critical,Detected,486.69,Synthetic banking-sector CTI event
T0006,4/10/2025,Malware,Insider,ATM Jackpotting,Data Platform & Analytics,North America,Low,Detected,332.33,Synthetic banking-sector CTI event
T0007,20/8/2025,Malware,Nation-State,Phishing Email,Digital Channels (Mobile/Web),Europe,Critical,Impacted,85.51,Synthetic banking-sector CTI event
T0008,22/9/2025,Nation-State,Insider,Phishing Email,Data Platform & Analytics,Middle East & Africa,Medium,Contained,85.88,Synthetic banking-sector CTI event
T0009,5/10/2025,Ransomware,Nation-State,ATM Jackpotting,Tokenized Asset Platform,Global,Medium,Detected,403.5,Synthetic banking-sector CTI event
T0010,16/10/2025,Ransomware,Cybercrime,Malware Dropper,Data Platform & Analytics,Middle East & Africa,High,Contained,329.44,Synthetic banking-sector CTI event
T0011,13/10/2025,API Abuse,Nation-State,Ransomware,Payment Processing Infrastructure,North America,High,Recovered,449.42,Synthetic banking-sector CTI event
T0012,15/10/2025,Phishing,Nation-State,Deepfake Voice,Data Platform & Analytics,Asia-Pacific,Low,Detected,431.25,Synthetic banking-sector CTI event
T0013,11/6/2025,Insider,Hacktivist,Phishing Email,Digital Channels (Mobile/Web),Asia-Pacific,Critical,Impacted,485.68,Synthetic banking-sector CTI event
T0014,30/3/2025,Malware,Insider,ATM Jackpotting,Core Banking System,Europe,Critical,Contained,229.59,Synthetic banking-sector CTI event
T0015,6/8/2025,Insider,Cybercrime,Ransomware,Tokenized Asset Platform,Middle East & Africa,Medium,Contained,190.09,Synthetic banking-sector CTI event
T0016,15/6/2025,Fraud,Insider,API Token Theft,Core Banking System,Global,High,Impacted,123.53,Synthetic banking-sector CTI event
T0017,26/7/2025,Malware,Cybercrime,API Token Theft,Tokenized Asset Platform,Global,Medium,Contained,331.58,Synthetic banking-sector CTI event
T0018,31/12/2025,Insider,Insider,SIM Swap,Payment Processing Infrastructure,Latin America,Medium,Impacted,202.5,Synthetic banking-sector CTI event
T0019,3/3/2026,Phishing,Hacktivist,API Token Theft,Core Banking System,North America,Medium,Detected,172.35,Synthetic banking-sector CTI event
T0020,20/1/2026,Nation-State,Nation-State,Credential Stuffing,Core Banking System,Middle East & Africa,Low,Contained,38.36,Synthetic banking-sector CTI event
T0021,10/4/2025,Phishing,Cybercrime,Malware Dropper,Customer Identity & Authentication,Middle East & Africa,Critical,Contained,271.92,Synthetic banking-sector CTI event
T0022,11/1/2026,API Abuse,Nation-State,API Token Theft,Tokenized Asset Platform,Asia-Pacific,Medium,Detected,52.98,Synthetic banking-sector CTI event
T0023,31/10/2025,Phishing,Hacktivist,SIM Swap,Digital Channels (Mobile/Web),Middle East & Africa,Low,Detected,35,Synthetic banking-sector CTI event
T0024,14/9/2025,Malware,Nation-State,Malware Dropper,Payment Processing Infrastructure,Latin America,Critical,Contained,213.83,Synthetic banking-sector CTI event
T0025,14/8/2025,API Abuse,Nation-State,Phishing Email,Digital Channels (Mobile/Web),Latin America,Low,Detected,327.81,Synthetic banking-sector CTI event
T0026,26/12/2025,Fraud,Cybercrime,Malware Dropper,Payment Processing Infrastructure,Asia-Pacific,Critical,Recovered,110.8,Synthetic banking-sector CTI event
T0027,16/10/2025,Fraud,Nation-State,SIM Swap,Core Banking System,Asia-Pacific,High,Recovered,146.2,Synthetic banking-sector CTI event
T0028,16/3/2026,API Abuse,Nation-State,Malware Dropper,Customer Identity & Authentication,North America,Low,Detected,375.25,Synthetic banking-sector CTI event
T0029,23/4/2025,Fraud,Hacktivist,Deepfake Voice,Core Banking System,Latin America,Low,Contained,38.92,Synthetic banking-sector CTI event
T0030,28/4/2025,Nation-State,Hacktivist,Phishing Email,Data Platform & Analytics,North America,Low,Detected,212.52,Synthetic banking-sector CTI event
T0031,17/1/2026,Phishing,Insider,Malware Dropper,SWIFT/RTGS Gateway,Middle East & Africa,High,Contained,136.48,Synthetic banking-sector CTI event
T0032,31/5/2025,Ransomware,Hacktivist,ATM Jackpotting,Tokenized Asset Platform,Global,Low,Recovered,312.47,Synthetic banking-sector CTI event
T0033,7/1/2026,Malware,Cybercrime,Malware Dropper,Data Platform & Analytics,Europe,Medium,Impacted,441.03,Synthetic banking-sector CTI event
T0034,28/7/2025,Phishing,Insider,Deepfake Voice,Digital Channels (Mobile/Web),Latin America,High,Detected,335.59,Synthetic banking-sector CTI event
T0035,2/1/2026,Ransomware,Cybercrime,Deepfake Voice,Customer Identity & Authentication,Global,Low,Contained,139.81,Synthetic banking-sector CTI event
T0036,28/1/2026,Nation-State,Insider,Malware Dropper,SWIFT/RTGS Gateway,Middle East & Africa,High,Recovered,129.31,Synthetic banking-sector CTI event
T0037,20/4/2025,Malware,Hacktivist,Ransomware,Core Banking System,Global,High,Contained,320.37,Synthetic banking-sector CTI event
T0038,6/8/2025,Insider,Hacktivist,SIM Swap,Data Platform & Analytics,Global,Low,Detected,472.8,Synthetic banking-sector CTI event
T0039,13/3/2026,Insider,Cybercrime,ATM Jackpotting,Data Platform & Analytics,Latin America,Medium,Recovered,68.09,Synthetic banking-sector CTI event
T0040,29/8/2025,Phishing,Cybercrime,ATM Jackpotting,Payment Processing Infrastructure,Middle East & Africa,Medium,Detected,180.07,Synthetic banking-sector CTI event
T0041,5/1/2026,DDoS,Nation-State,Malware Dropper,Tokenized Asset Platform,North America,Medium,Recovered,17.27,Synthetic banking-sector CTI event
T0042,11/9/2025,DDoS,Nation-State,Ransomware,Payment Processing Infrastructure,Middle East & Africa,Low,Recovered,436.72,Synthetic banking-sector CTI event
T0043,20/11/2025,Nation-State,Nation-State,API Token Theft,Customer Identity & Authentication,Europe,Medium,Contained,16.71,Synthetic banking-sector CTI event
T0044,1/7/2025,DDoS,Insider,Ransomware,Tokenized Asset Platform,Global,High,Impacted,322.53,Synthetic banking-sector CTI event
T0045,15/10/2025,Phishing,Cybercrime,Phishing Email,Customer Identity & Authentication,North America,High,Detected,58.66,Synthetic banking-sector CTI event
T0046,2/11/2025,Phishing,Insider,SIM Swap,Data Platform & Analytics,Latin America,Low,Recovered,450.25,Synthetic banking-sector CTI event
T0047,30/6/2025,Ransomware,Cybercrime,SIM Swap,Core Banking System,Latin America,Medium,Impacted,218.49,Synthetic banking-sector CTI event
T0048,28/2/2026,Phishing,Insider,Phishing Email,SWIFT/RTGS Gateway,Europe,High,Recovered,166.46,Synthetic banking-sector CTI event
T0049,16/3/2026,Ransomware,Nation-State,Malware Dropper,Digital Channels (Mobile/Web),Middle East & Africa,Critical,Contained,309.68,Synthetic banking-sector CTI event
T0050,26/8/2025,DDoS,Cybercrime,Ransomware,Customer Identity & Authentication,North America,Critical,Impacted,235.17,Synthetic banking-sector CTI event
T0051,6/11/2025,Nation-State,Hacktivist,Deepfake Voice,SWIFT/RTGS Gateway,Global,High,Impacted,51.23,Synthetic banking-sector CTI event
T0052,23/7/2025,Ransomware,Nation-State,Malware Dropper,Payment Processing Infrastructure,Global,Low,Contained,492.05,Synthetic banking-sector CTI event
T0053,31/1/2026,Malware,Hacktivist,SIM Swap,SWIFT/RTGS Gateway,Latin America,Medium,Recovered,249.72,Synthetic banking-sector CTI event
T0054,27/7/2025,Insider,Cybercrime,Phishing Email,Tokenized Asset Platform,Asia-Pacific,Medium,Contained,403.03,Synthetic banking-sector CTI event
T0055,16/3/2026,API Abuse,Cybercrime,Malware Dropper,Tokenized Asset Platform,Global,Critical,Contained,401.7,Synthetic banking-sector CTI event
T0056,1/3/2026,Phishing,Hacktivist,SIM Swap,Tokenized Asset Platform,Latin America,Critical,Contained,373.11,Synthetic banking-sector CTI event
T0057,23/11/2025,API Abuse,Insider,Malware Dropper,Tokenized Asset Platform,Middle East & Africa,High,Recovered,315.24,Synthetic banking-sector CTI event
T0058,12/8/2025,API Abuse,Cybercrime,Ransomware,Payment Processing Infrastructure,Europe,High,Impacted,447.05,Synthetic banking-sector CTI event
T0059,5/5/2025,Insider,Nation-State,Malware Dropper,Digital Channels (Mobile/Web),Middle East & Africa,Medium,Contained,36.79,Synthetic banking-sector CTI event
T0060,19/10/2025,Phishing,Hacktivist,SIM Swap,Core Banking System,North America,Critical,Recovered,452.9,Synthetic banking-sector CTI event
T0061,18/1/2026,Fraud,Hacktivist,API Token Theft,Core Banking System,Europe,High,Recovered,427.46,Synthetic banking-sector CTI event
T0062,25/10/2025,Nation-State,Hacktivist,Malware Dropper,Customer Identity & Authentication,Asia-Pacific,Critical,Detected,197.48,Synthetic banking-sector CTI event
T0063,2/3/2026,DDoS,Nation-State,API Token Theft,Payment Processing Infrastructure,Latin America,Low,Recovered,297.99,Synthetic banking-sector CTI event
T0064,27/2/2026,Fraud,Cybercrime,SIM Swap,Payment Processing Infrastructure,Asia-Pacific,Medium,Detected,133.78,Synthetic banking-sector CTI event
T0065,8/9/2025,Nation-State,Hacktivist,ATM Jackpotting,Customer Identity & Authentication,Asia-Pacific,High,Recovered,129.87,Synthetic banking-sector CTI event
T0066,5/5/2025,API Abuse,Cybercrime,Credential Stuffing,Customer Identity & Authentication,North America,Low,Detected,378.35,Synthetic banking-sector CTI event
T0067,29/7/2025,Nation-State,Cybercrime,Deepfake Voice,Payment Processing Infrastructure,North America,Critical,Detected,284.16,Synthetic banking-sector CTI event
T0068,14/7/2025,API Abuse,Insider,ATM Jackpotting,Payment Processing Infrastructure,Latin America,Low,Contained,482.54,Synthetic banking-sector CTI event
T0069,19/5/2025,Fraud,Insider,SIM Swap,Digital Channels (Mobile/Web),Middle East & Africa,Medium,Detected,298.09,Synthetic banking-sector CTI event
T0070,9/2/2026,Nation-State,Cybercrime,Ransomware,Tokenized Asset Platform,Middle East & Africa,Low,Detected,176.87,Synthetic banking-sector CTI event
T0071,30/10/2025,Phishing,Cybercrime,ATM Jackpotting,Core Banking System,Asia-Pacific,Critical,Detected,219.59,Synthetic banking-sector CTI event
T0072,26/9/2025,API Abuse,Nation-State,SIM Swap,Payment Processing Infrastructure,Middle East & Africa,High,Recovered,235.11,Synthetic banking-sector CTI event
T0073,22/1/2026,Ransomware,Insider,Malware Dropper,Tokenized Asset Platform,Global,High,Recovered,125.71,Synthetic banking-sector CTI event
T0074,17/11/2025,DDoS,Insider,Credential Stuffing,Digital Channels (Mobile/Web),Europe,Medium,Recovered,110,Synthetic banking-sector CTI event
T0075,4/8/2025,Phishing,Insider,Ransomware,Data Platform & Analytics,Global,Medium,Detected,124.47,Synthetic banking-sector CTI event
T0076,19/10/2025,API Abuse,Nation-State,API Token Theft,SWIFT/RTGS Gateway,Middle East & Africa,Critical,Recovered,397.5,Synthetic banking-sector CTI event
T0077,11/5/2025,Ransomware,Nation-State,SIM Swap,SWIFT/RTGS Gateway,North America,High,Impacted,239.26,Synthetic banking-sector CTI event
